"[all run data]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
,"73","448750","59.82746789530438","73","459706","60.62150769532399","73","457054","60.817566905205375","73","412387","59.33731987060092","73","422920","55.955298500147045","73","457072","59.709832369375555","73","463996","58.945201450838155","73","446107","59.89608861876287","73","473284","63.7682580139202","73","462319","61.395941574355454"
,"74","455542","59.86667973728066","74","466621","60.74894618174689","74","463891","60.866581707675714","74","419596","59.38633467307127","74","430336","56.00431330261739","74","463759","59.788256053328105","74","471229","59.004019213802565","74","453400","59.94510342123321","74","480562","63.95451426330752","74","468709","61.60180374473091"
,"75","462493","59.915694539751","75","473800","60.827369865699445","75","470860","60.95480835212234","75","426163","59.513773159494164","75","437551","56.02391922360553","75","471400","59.8862856582688","75","478654","59.09224585824919","75","460447","59.99411822370356","75","487321","64.08195274973042","75","475822","61.88608959905891"
,"76","469879","60.10195078913832","76","480523","60.98421723360455","76","478225","61.0332320360749","76","433195","59.60199980394079","76","444712","56.06313106558181","76","478432","60.023527105185764","76","485953","59.21968434467209","76","467899","60.08234486815019","76","494656","64.17017939417704","76","482803","62.0821488089403"
,"77","476617","60.219586315067154","77","487258","61.08224683854524","77","485668","61.062640917557104","77","440056","59.700029408881484","77","451933","56.08273698656994","77","485605","60.15096559160867","77","492844","59.25889618664837","77","475519","60.26860111753749","77","501190","64.22899715714146","77","489952","62.229193216351334"
,"78","484087","60.376433682972255","78","494443","61.09204979903931","78","492694","61.11165572002745","78","447034","59.7588471718459","78","458830","56.1611606705225","78","492817","60.26860111753749","78","500086","59.366728752083134","78","482665","60.376433682972255","78","507826","64.36623860405842","78","497074","62.37623762376238"
,"79","491449","60.53328105087736","79","501508","61.160670522497796","79","499627","61.21948828546221","79","453868","59.86667973728066","79","465922","56.18076659151063","79","499765","60.43525144593667","79","507358","59.435349475541614","79","490426","60.50387216939516","79","514801","64.56229781393981","79","503998","62.464464268209"
,"80","498526","60.67052249779433","80","508696","61.20968532496814","80","506914","61.337123811391045","80","460609","60.023527105185764","80","472882","56.210175472992844","80","506725","60.58229585334771","80","514552","59.543182040976376","80","497242","60.59209881384178","80","521770","64.74855406332713","80","511189","62.5919027546319"
,"81","505705","60.83717282619351","81","515689","61.22929124595628","81","513943","61.52338006077835","81","467833","60.07254190765611","81","479986","56.26899323595726","81","513574","60.6803254582884","81","521599","59.65101460641114","81","504376","60.641113616312126","81","529252","64.8857955102441","81","518662","62.72914420154887"
,"82","512893","60.99402019409862","82","522826","61.307714929908826","82","521326","61.650818547201254","82","474910","60.15096559160867","82","487024","56.298402117439466","82","520636","60.797960984217234","82","528850","59.77845309283404","82","511870","60.75874914224096","82","536155","64.92500735222038","82","525517","62.88599156945398"
